date,sku_id,sku_name,quantity_sold,price,category,promotion_flag
1/4/2025,MEALIE_2KG,Mealie Meal 2KG,32,1.99,Staple,FALSE
1/4/2025,MEALIE_10KG,Mealie Meal 10KG,39,7.99,Staple,FALSE
1/4/2025,RICE_5KG,Rice 5KG,24,7.56,Staple,FALSE
1/4/2025,COOKOIL_2LT,Cooking Oil 2L,19,3.46,Staple,FALSE
1/4/2025,SUGAR_2KG,Sugar 2KG,18,2.18,Staple,FALSE
1/4/2025,SALT_1KG,Salt 1KG,20,1.01,Staple,FALSE
1/4/2025,COKE_500ML,Coke 500ml,26,1.02,Beverage,TRUE
1/4/2025,MAZOE_1LT,Mazoe Orange 1L,30,2.49,Beverage,FALSE
1/4/2025,TEA_250G,Tea Leaves 250g,27,2.96,Beverage,FALSE
1/4/2025,MILK_1LT,Long-life Milk 1L,32,1.81,Beverage,FALSE
1/4/2025,SOAP_100G,Bathing Soap 100g,11,0.81,Household,FALSE
1/4/2025,DETERGENT_500G,Washing Powder 500g,10,2.52,Household,FALSE
1/4/2025,CANDLES_6PK,Candles 6-pack,12,1.51,Household,FALSE
1/4/2025,TOOTHPASTE_100G,Toothpaste 100g,6,1.83,Personal Care,FALSE
1/4/2025,SANITARY_10PK,Sanitary Pads 10-pack,8,3.52,Personal Care,FALSE
1/4/2025,BISCUITS_200G,Biscuits 200g,17,1.19,Snack,FALSE
1/4/2025,MAPUTI_100G,Maputi 100g,15,0.49,Snack,FALSE
1/4/2025,BREAD_LOAF,Bread Loaf,37,0.99,Bakery,TRUE
1/4/2025,BEANS_410G,Baked Beans 410g,9,1.52,Canned Food,FALSE
1/4/2025,PILCHARDS_155G,Pilchards 155g,9,1.78,Canned Food,FALSE
1/4/2025,AIRTIME_5,Airtime $5,47,5.01,Utility,FALSE
1/4/2025,ELECTRICITY_10,Electricity $10,49,10.1,Utility,FALSE
1/5/2025,MEALIE_2KG,Mealie Meal 2KG,25,2.02,Staple,FALSE
1/5/2025,MEALIE_10KG,Mealie Meal 10KG,26,8.1,Staple,FALSE
1/5/2025,RICE_5KG,Rice 5KG,14,7.57,Staple,FALSE
1/5/2025,COOKOIL_2LT,Cooking Oil 2L,13,3.45,Staple,FALSE
1/5/2025,SUGAR_2KG,Sugar 2KG,17,2.16,Staple,FALSE
1/5/2025,SALT_1KG,Salt 1KG,14,1.02,Staple,FALSE
1/5/2025,COKE_500ML,Coke 500ml,17,1.01,Beverage,FALSE
1/5/2025,MAZOE_1LT,Mazoe Orange 1L,21,2.45,Beverage,TRUE
1/5/2025,TEA_250G,Tea Leaves 250g,23,2.96,Beverage,FALSE
1/5/2025,MILK_1LT,Long-life Milk 1L,18,1.79,Beverage,FALSE
1/5/2025,SOAP_100G,Bathing Soap 100g,6,0.79,Household,FALSE
1/5/2025,DETERGENT_500G,Washing Powder 500g,6,2.51,Household,FALSE
1/5/2025,CANDLES_6PK,Candles 6-pack,7,1.53,Household,FALSE
1/5/2025,TOOTHPASTE_100G,Toothpaste 100g,5,1.81,Personal Care,FALSE
1/5/2025,SANITARY_10PK,Sanitary Pads 10-pack,4,3.52,Personal Care,FALSE
1/5/2025,BISCUITS_200G,Biscuits 200g,11,1.22,Snack,FALSE
1/5/2025,MAPUTI_100G,Maputi 100g,11,0.51,Snack,FALSE
1/5/2025,BREAD_LOAF,Bread Loaf,20,1,Bakery,FALSE
1/5/2025,BEANS_410G,Baked Beans 410g,5,1.48,Canned Food,FALSE
1/5/2025,PILCHARDS_155G,Pilchards 155g,6,1.82,Canned Food,TRUE
1/5/2025,AIRTIME_5,Airtime $5,24,5.03,Utility,FALSE
1/5/2025,ELECTRICITY_10,Electricity $10,35,9.93,Utility,FALSE
1/6/2025,MEALIE_2KG,Mealie Meal 2KG,18,1.99,Staple,FALSE
1/6/2025,MEALIE_10KG,Mealie Meal 10KG,19,8.11,Staple,TRUE
1/6/2025,RICE_5KG,Rice 5KG,16,7.6,Staple,FALSE
1/6/2025,COOKOIL_2LT,Cooking Oil 2L,13,3.43,Staple,FALSE
1/6/2025,SUGAR_2KG,Sugar 2KG,15,2.21,Staple,FALSE
1/6/2025,SALT_1KG,Salt 1KG,15,1.01,Staple,FALSE
1/6/2025,COKE_500ML,Coke 500ml,16,1,Beverage,FALSE
1/6/2025,MAZOE_1LT,Mazoe Orange 1L,16,2.5,Beverage,TRUE
1/6/2025,TEA_250G,Tea Leaves 250g,16,3.06,Beverage,FALSE
1/6/2025,MILK_1LT,Long-life Milk 1L,19,1.8,Beverage,FALSE
1/6/2025,SOAP_100G,Bathing Soap 100g,6,0.81,Household,FALSE
1/6/2025,DETERGENT_500G,Washing Powder 500g,7,2.55,Household,FALSE
1/6/2025,CANDLES_6PK,Candles 6-pack,9,1.51,Household,FALSE
1/6/2025,TOOTHPASTE_100G,Toothpaste 100g,4,1.84,Personal Care,FALSE
1/6/2025,SANITARY_10PK,Sanitary Pads 10-pack,5,3.45,Personal Care,FALSE
1/6/2025,BISCUITS_200G,Biscuits 200g,10,1.18,Snack,FALSE
1/6/2025,MAPUTI_100G,Maputi 100g,13,0.5,Snack,TRUE
1/6/2025,BREAD_LOAF,Bread Loaf,29,1,Bakery,FALSE
1/6/2025,BEANS_410G,Baked Beans 410g,4,1.47,Canned Food,FALSE
1/6/2025,PILCHARDS_155G,Pilchards 155g,4,1.8,Canned Food,FALSE
1/6/2025,AIRTIME_5,Airtime $5,26,5.04,Utility,TRUE
1/6/2025,ELECTRICITY_10,Electricity $10,28,10.05,Utility,TRUE
1/7/2025,MEALIE_2KG,Mealie Meal 2KG,24,1.97,Staple,FALSE
1/7/2025,MEALIE_10KG,Mealie Meal 10KG,24,7.95,Staple,FALSE
1/7/2025,RICE_5KG,Rice 5KG,17,7.6,Staple,FALSE
1/7/2025,COOKOIL_2LT,Cooking Oil 2L,12,3.45,Staple,FALSE
1/7/2025,SUGAR_2KG,Sugar 2KG,12,2.18,Staple,FALSE
1/7/2025,SALT_1KG,Salt 1KG,17,0.98,Staple,FALSE
1/7/2025,COKE_500ML,Coke 500ml,22,0.99,Beverage,FALSE
1/7/2025,MAZOE_1LT,Mazoe Orange 1L,19,2.46,Beverage,FALSE
1/7/2025,TEA_250G,Tea Leaves 250g,16,3.04,Beverage,FALSE
1/7/2025,MILK_1LT,Long-life Milk 1L,17,1.83,Beverage,FALSE
1/7/2025,SOAP_100G,Bathing Soap 100g,6,0.81,Household,FALSE
1/7/2025,DETERGENT_500G,Washing Powder 500g,8,2.5,Household,FALSE
1/7/2025,CANDLES_6PK,Candles 6-pack,8,1.48,Household,FALSE
1/7/2025,TOOTHPASTE_100G,Toothpaste 100g,5,1.8,Personal Care,FALSE
1/7/2025,SANITARY_10PK,Sanitary Pads 10-pack,5,3.57,Personal Care,FALSE
1/7/2025,BISCUITS_200G,Biscuits 200g,11,1.19,Snack,FALSE
1/7/2025,MAPUTI_100G,Maputi 100g,11,0.49,Snack,FALSE
1/7/2025,BREAD_LOAF,Bread Loaf,21,0.99,Bakery,FALSE
1/7/2025,BEANS_410G,Baked Beans 410g,5,1.49,Canned Food,FALSE
1/7/2025,PILCHARDS_155G,Pilchards 155g,7,1.78,Canned Food,FALSE
1/7/2025,AIRTIME_5,Airtime $5,25,5.02,Utility,TRUE
1/7/2025,ELECTRICITY_10,Electricity $10,28,10.13,Utility,FALSE
1/8/2025,MEALIE_2KG,Mealie Meal 2KG,22,1.97,Staple,FALSE
1/8/2025,MEALIE_10KG,Mealie Meal 10KG,21,7.89,Staple,TRUE
1/8/2025,RICE_5KG,Rice 5KG,12,7.48,Staple,TRUE
1/8/2025,COOKOIL_2LT,Cooking Oil 2L,12,3.54,Staple,FALSE
1/8/2025,SUGAR_2KG,Sugar 2KG,16,2.18,Staple,FALSE
1/8/2025,SALT_1KG,Salt 1KG,15,0.99,Staple,FALSE
1/8/2025,COKE_500ML,Coke 500ml,20,1.01,Beverage,TRUE
1/8/2025,MAZOE_1LT,Mazoe Orange 1L,23,2.45,Beverage,FALSE
1/8/2025,TEA_250G,Tea Leaves 250g,18,3.03,Beverage,FALSE
1/8/2025,MILK_1LT,Long-life Milk 1L,16,1.77,Beverage,FALSE
1/8/2025,SOAP_100G,Bathing Soap 100g,7,0.8,Household,TRUE
1/8/2025,DETERGENT_500G,Washing Powder 500g,9,2.45,Household,FALSE
1/8/2025,CANDLES_6PK,Candles 6-pack,6,1.5,Household,FALSE
1/8/2025,TOOTHPASTE_100G,Toothpaste 100g,4,1.8,Personal Care,FALSE
1/8/2025,SANITARY_10PK,Sanitary Pads 10-pack,5,3.45,Personal Care,FALSE
1/8/2025,BISCUITS_200G,Biscuits 200g,13,1.21,Snack,FALSE
1/8/2025,MAPUTI_100G,Maputi 100g,11,0.51,Snack,FALSE
1/8/2025,BREAD_LOAF,Bread Loaf,20,1,Bakery,FALSE
1/8/2025,BEANS_410G,Baked Beans 410g,5,1.53,Canned Food,FALSE
1/8/2025,PILCHARDS_155G,Pilchards 155g,5,1.77,Canned Food,FALSE
1/8/2025,AIRTIME_5,Airtime $5,29,4.93,Utility,TRUE
1/8/2025,ELECTRICITY_10,Electricity $10,33,10.02,Utility,TRUE
1/9/2025,MEALIE_2KG,Mealie Meal 2KG,22,2.02,Staple,FALSE
1/9/2025,MEALIE_10KG,Mealie Meal 10KG,28,8.01,Staple,FALSE
1/9/2025,RICE_5KG,Rice 5KG,14,7.63,Staple,FALSE
1/9/2025,COOKOIL_2LT,Cooking Oil 2L,17,3.47,Staple,FALSE
1/9/2025,SUGAR_2KG,Sugar 2KG,16,2.2,Staple,FALSE
1/9/2025,SALT_1KG,Salt 1KG,15,0.99,Staple,FALSE
1/9/2025,COKE_500ML,Coke 500ml,23,1.01,Beverage,FALSE
1/9/2025,MAZOE_1LT,Mazoe Orange 1L,23,2.48,Beverage,FALSE
1/9/2025,TEA_250G,Tea Leaves 250g,23,3.05,Beverage,FALSE
1/9/2025,MILK_1LT,Long-life Milk 1L,23,1.79,Beverage,FALSE
1/9/2025,SOAP_100G,Bathing Soap 100g,7,0.8,Household,FALSE
1/9/2025,DETERGENT_500G,Washing Powder 500g,8,2.5,Household,FALSE
1/9/2025,CANDLES_6PK,Candles 6-pack,8,1.5,Household,FALSE
1/9/2025,TOOTHPASTE_100G,Toothpaste 100g,4,1.8,Personal Care,FALSE
1/9/2025,SANITARY_10PK,Sanitary Pads 10-pack,4,3.48,Personal Care,TRUE
1/9/2025,BISCUITS_200G,Biscuits 200g,13,1.19,Snack,FALSE
1/9/2025,MAPUTI_100G,Maputi 100g,10,0.5,Snack,FALSE
1/9/2025,BREAD_LOAF,Bread Loaf,26,1.01,Bakery,FALSE
1/9/2025,BEANS_410G,Baked Beans 410g,5,1.53,Canned Food,FALSE
1/9/2025,PILCHARDS_155G,Pilchards 155g,6,1.78,Canned Food,TRUE
1/9/2025,AIRTIME_5,Airtime $5,31,4.92,Utility,FALSE
1/9/2025,ELECTRICITY_10,Electricity $10,25,10.16,Utility,FALSE
1/10/2025,MEALIE_2KG,Mealie Meal 2KG,31,1.97,Staple,FALSE
1/10/2025,MEALIE_10KG,Mealie Meal 10KG,36,8.06,Staple,TRUE
1/10/2025,RICE_5KG,Rice 5KG,18,7.41,Staple,FALSE
1/10/2025,COOKOIL_2LT,Cooking Oil 2L,17,3.51,Staple,FALSE
1/10/2025,SUGAR_2KG,Sugar 2KG,20,2.17,Staple,FALSE
1/10/2025,SALT_1KG,Salt 1KG,22,0.99,Staple,FALSE
1/10/2025,COKE_500ML,Coke 500ml,30,1.01,Beverage,TRUE
1/10/2025,MAZOE_1LT,Mazoe Orange 1L,24,2.46,Beverage,FALSE
1/10/2025,TEA_250G,Tea Leaves 250g,26,2.94,Beverage,FALSE
1/10/2025,MILK_1LT,Long-life Milk 1L,22,1.84,Beverage,TRUE
1/10/2025,SOAP_100G,Bathing Soap 100g,9,0.79,Household,FALSE
1/10/2025,DETERGENT_500G,Washing Powder 500g,12,2.5,Household,FALSE
1/10/2025,CANDLES_6PK,Candles 6-pack,9,1.47,Household,FALSE
1/10/2025,TOOTHPASTE_100G,Toothpaste 100g,6,1.83,Personal Care,TRUE
1/10/2025,SANITARY_10PK,Sanitary Pads 10-pack,6,3.47,Personal Care,FALSE
1/10/2025,BISCUITS_200G,Biscuits 200g,13,1.19,Snack,TRUE
1/10/2025,MAPUTI_100G,Maputi 100g,18,0.5,Snack,TRUE
1/10/2025,BREAD_LOAF,Bread Loaf,37,0.99,Bakery,FALSE
1/10/2025,BEANS_410G,Baked Beans 410g,9,1.51,Canned Food,FALSE
1/10/2025,PILCHARDS_155G,Pilchards 155g,7,1.79,Canned Food,FALSE
1/10/2025,AIRTIME_5,Airtime $5,44,5.07,Utility,FALSE
1/10/2025,ELECTRICITY_10,Electricity $10,49,9.93,Utility,FALSE
1/11/2025,MEALIE_2KG,Mealie Meal 2KG,25,2.02,Staple,FALSE
1/11/2025,MEALIE_10KG,Mealie Meal 10KG,30,7.98,Staple,TRUE
1/11/2025,RICE_5KG,Rice 5KG,23,7.58,Staple,FALSE
1/11/2025,COOKOIL_2LT,Cooking Oil 2L,18,3.55,Staple,FALSE
1/11/2025,SUGAR_2KG,Sugar 2KG,18,2.18,Staple,FALSE
1/11/2025,SALT_1KG,Salt 1KG,25,1,Staple,FALSE
1/11/2025,COKE_500ML,Coke 500ml,23,1,Beverage,FALSE
1/11/2025,MAZOE_1LT,Mazoe Orange 1L,31,2.47,Beverage,FALSE
1/11/2025,TEA_250G,Tea Leaves 250g,30,3.01,Beverage,TRUE
1/11/2025,MILK_1LT,Long-life Milk 1L,32,1.79,Beverage,FALSE
1/11/2025,SOAP_100G,Bathing Soap 100g,11,0.8,Household,FALSE
1/11/2025,DETERGENT_500G,Washing Powder 500g,13,2.47,Household,FALSE
1/11/2025,CANDLES_6PK,Candles 6-pack,9,1.5,Household,FALSE
1/11/2025,TOOTHPASTE_100G,Toothpaste 100g,8,1.77,Personal Care,FALSE
1/11/2025,SANITARY_10PK,Sanitary Pads 10-pack,8,3.46,Personal Care,FALSE
1/11/2025,BISCUITS_200G,Biscuits 200g,15,1.19,Snack,FALSE
1/11/2025,MAPUTI_100G,Maputi 100g,17,0.49,Snack,FALSE
1/11/2025,BREAD_LOAF,Bread Loaf,37,1.01,Bakery,FALSE
1/11/2025,BEANS_410G,Baked Beans 410g,6,1.47,Canned Food,FALSE
1/11/2025,PILCHARDS_155G,Pilchards 155g,7,1.8,Canned Food,FALSE
1/11/2025,AIRTIME_5,Airtime $5,37,4.96,Utility,FALSE
1/11/2025,ELECTRICITY_10,Electricity $10,38,9.86,Utility,FALSE
1/12/2025,MEALIE_2KG,Mealie Meal 2KG,19,2.03,Staple,FALSE
1/12/2025,MEALIE_10KG,Mealie Meal 10KG,28,8.12,Staple,FALSE
1/12/2025,RICE_5KG,Rice 5KG,17,7.46,Staple,FALSE
1/12/2025,COOKOIL_2LT,Cooking Oil 2L,13,3.49,Staple,FALSE
1/12/2025,SUGAR_2KG,Sugar 2KG,14,2.22,Staple,TRUE
1/12/2025,SALT_1KG,Salt 1KG,12,0.98,Staple,FALSE
1/12/2025,COKE_500ML,Coke 500ml,17,0.99,Beverage,FALSE
1/12/2025,MAZOE_1LT,Mazoe Orange 1L,22,2.54,Beverage,FALSE
1/12/2025,TEA_250G,Tea Leaves 250g,17,3.04,Beverage,FALSE
1/12/2025,MILK_1LT,Long-life Milk 1L,23,1.77,Beverage,FALSE
1/12/2025,SOAP_100G,Bathing Soap 100g,9,0.8,Household,FALSE
1/12/2025,DETERGENT_500G,Washing Powder 500g,8,2.5,Household,FALSE
1/12/2025,CANDLES_6PK,Candles 6-pack,8,1.5,Household,FALSE
1/12/2025,TOOTHPASTE_100G,Toothpaste 100g,5,1.79,Personal Care,FALSE
1/12/2025,SANITARY_10PK,Sanitary Pads 10-pack,4,3.56,Personal Care,TRUE
1/12/2025,BISCUITS_200G,Biscuits 200g,9,1.2,Snack,FALSE
1/12/2025,MAPUTI_100G,Maputi 100g,12,0.51,Snack,FALSE
1/12/2025,BREAD_LOAF,Bread Loaf,28,1.01,Bakery,FALSE
1/12/2025,BEANS_410G,Baked Beans 410g,4,1.52,Canned Food,FALSE
1/12/2025,PILCHARDS_155G,Pilchards 155g,5,1.77,Canned Food,FALSE
1/12/2025,AIRTIME_5,Airtime $5,24,4.91,Utility,FALSE
1/12/2025,ELECTRICITY_10,Electricity $10,33,10.17,Utility,FALSE
1/13/2025,MEALIE_2KG,Mealie Meal 2KG,24,2.01,Staple,FALSE
1/13/2025,MEALIE_10KG,Mealie Meal 10KG,23,8.12,Staple,FALSE
1/13/2025,RICE_5KG,Rice 5KG,14,7.37,Staple,TRUE
1/13/2025,COOKOIL_2LT,Cooking Oil 2L,16,3.51,Staple,FALSE
1/13/2025,SUGAR_2KG,Sugar 2KG,15,2.19,Staple,FALSE
1/13/2025,SALT_1KG,Salt 1KG,17,0.98,Staple,FALSE
1/13/2025,COKE_500ML,Coke 500ml,18,0.99,Beverage,FALSE
1/13/2025,MAZOE_1LT,Mazoe Orange 1L,20,2.49,Beverage,FALSE
1/13/2025,TEA_250G,Tea Leaves 250g,21,3.01,Beverage,FALSE
1/13/2025,MILK_1LT,Long-life Milk 1L,18,1.78,Beverage,FALSE
1/13/2025,SOAP_100G,Bathing Soap 100g,8,0.8,Household,FALSE
1/13/2025,DETERGENT_500G,Washing Powder 500g,9,2.54,Household,FALSE
1/13/2025,CANDLES_6PK,Candles 6-pack,9,1.49,Household,FALSE
1/13/2025,TOOTHPASTE_100G,Toothpaste 100g,4,1.82,Personal Care,FALSE
1/13/2025,SANITARY_10PK,Sanitary Pads 10-pack,4,3.54,Personal Care,FALSE
1/13/2025,BISCUITS_200G,Biscuits 200g,13,1.21,Snack,FALSE
1/13/2025,MAPUTI_100G,Maputi 100g,11,0.5,Snack,FALSE
1/13/2025,BREAD_LOAF,Bread Loaf,23,0.99,Bakery,TRUE
1/13/2025,BEANS_410G,Baked Beans 410g,6,1.48,Canned Food,FALSE
1/13/2025,PILCHARDS_155G,Pilchards 155g,5,1.82,Canned Food,FALSE
1/13/2025,AIRTIME_5,Airtime $5,33,5.06,Utility,FALSE
1/13/2025,ELECTRICITY_10,Electricity $10,27,10.19,Utility,FALSE
1/14/2025,MEALIE_2KG,Mealie Meal 2KG,18,1.98,Staple,FALSE
1/14/2025,MEALIE_10KG,Mealie Meal 10KG,20,8.13,Staple,FALSE
1/14/2025,RICE_5KG,Rice 5KG,12,7.61,Staple,FALSE
1/14/2025,COOKOIL_2LT,Cooking Oil 2L,14,3.43,Staple,FALSE
1/14/2025,SUGAR_2KG,Sugar 2KG,12,2.21,Staple,TRUE
1/14/2025,SALT_1KG,Salt 1KG,15,0.98,Staple,FALSE
1/14/2025,COKE_500ML,Coke 500ml,16,1.02,Beverage,FALSE
1/14/2025,MAZOE_1LT,Mazoe Orange 1L,21,2.45,Beverage,FALSE
1/14/2025,TEA_250G,Tea Leaves 250g,19,3,Beverage,FALSE
1/14/2025,MILK_1LT,Long-life Milk 1L,17,1.8,Beverage,FALSE
1/14/2025,SOAP_100G,Bathing Soap 100g,9,0.8,Household,FALSE
1/14/2025,DETERGENT_500G,Washing Powder 500g,8,2.48,Household,FALSE
1/14/2025,CANDLES_6PK,Candles 6-pack,7,1.48,Household,FALSE
1/14/2025,TOOTHPASTE_100G,Toothpaste 100g,4,1.82,Personal Care,TRUE
1/14/2025,SANITARY_10PK,Sanitary Pads 10-pack,4,3.44,Personal Care,FALSE
1/14/2025,BISCUITS_200G,Biscuits 200g,14,1.21,Snack,TRUE
1/14/2025,MAPUTI_100G,Maputi 100g,11,0.5,Snack,FALSE
1/14/2025,BREAD_LOAF,Bread Loaf,26,1,Bakery,FALSE
1/14/2025,BEANS_410G,Baked Beans 410g,6,1.53,Canned Food,FALSE
1/14/2025,PILCHARDS_155G,Pilchards 155g,6,1.8,Canned Food,FALSE
1/14/2025,AIRTIME_5,Airtime $5,30,4.99,Utility,TRUE
1/14/2025,ELECTRICITY_10,Electricity $10,33,10.1,Utility,TRUE
1/15/2025,MEALIE_2KG,Mealie Meal 2KG,20,1.99,Staple,FALSE
1/15/2025,MEALIE_10KG,Mealie Meal 10KG,21,8.1,Staple,FALSE
1/15/2025,RICE_5KG,Rice 5KG,17,7.64,Staple,FALSE
1/15/2025,COOKOIL_2LT,Cooking Oil 2L,13,3.45,Staple,FALSE
1/15/2025,SUGAR_2KG,Sugar 2KG,17,2.22,Staple,FALSE
1/15/2025,SALT_1KG,Salt 1KG,15,1,Staple,FALSE
1/15/2025,COKE_500ML,Coke 500ml,20,0.98,Beverage,FALSE
1/15/2025,MAZOE_1LT,Mazoe Orange 1L,16,2.45,Beverage,FALSE
1/15/2025,TEA_250G,Tea Leaves 250g,20,3,Beverage,FALSE
1/15/2025,MILK_1LT,Long-life Milk 1L,17,1.8,Beverage,TRUE
1/15/2025,SOAP_100G,Bathing Soap 100g,8,0.81,Household,TRUE
1/15/2025,DETERGENT_500G,Washing Powder 500g,7,2.47,Household,FALSE
1/15/2025,CANDLES_6PK,Candles 6-pack,9,1.48,Household,FALSE
1/15/2025,TOOTHPASTE_100G,Toothpaste 100g,4,1.78,Personal Care,FALSE
1/15/2025,SANITARY_10PK,Sanitary Pads 10-pack,5,3.49,Personal Care,TRUE
1/15/2025,BISCUITS_200G,Biscuits 200g,12,1.2,Snack,FALSE
1/15/2025,MAPUTI_100G,Maputi 100g,10,0.49,Snack,FALSE
1/15/2025,BREAD_LOAF,Bread Loaf,21,1.02,Bakery,FALSE
1/15/2025,BEANS_410G,Baked Beans 410g,6,1.48,Canned Food,TRUE
1/15/2025,PILCHARDS_155G,Pilchards 155g,5,1.79,Canned Food,FALSE
1/15/2025,AIRTIME_5,Airtime $5,26,4.96,Utility,FALSE
1/15/2025,ELECTRICITY_10,Electricity $10,33,9.81,Utility,FALSE
1/16/2025,MEALIE_2KG,Mealie Meal 2KG,18,2,Staple,FALSE
1/16/2025,MEALIE_10KG,Mealie Meal 10KG,24,8.04,Staple,FALSE
1/16/2025,RICE_5KG,Rice 5KG,17,7.46,Staple,FALSE
1/16/2025,COOKOIL_2LT,Cooking Oil 2L,16,3.5,Staple,TRUE
